"year";"month";"day";"hour MEZ";"min";"dewpoint temperature (degree C)";"air temperature (degree C)";"relative humidity (%)";"global radiation (W m^(-2))";"wind speed (km/h)";"wind direction (degree)";"wind speed - gust (km/h)";"precipitation (10^(-1) mm)";"air pressure (hPa)"
2005;3;12;05;30;-1,0;4,9;65,5;-0,1;26,5;-0,2;-6999;0,0;-6999;
2005;3;12;05;45;-0,9;4,5;68,1;0,0;23,3;-0,1;-6999;0,0;-6999;
2005;3;12;06;00;-0,7;4,3;70,0;0,0;25,6;-0,2;-6999;0,0;-6999;
2005;3;12;06;15;-0,5;4,1;72,0;0,9;26,9;-0,1;-6999;0,0;-6999;
2005;3;12;06;30;-0,3;3,8;74,6;4,5;23,8;-0,2;-6999;0,0;-6999;
2005;3;12;06;45;-0,2;3,7;75,4;17,1;22,7;-0,1;-6999;0,0;-6999;
2005;3;12;07;00;-0,3;3,9;74,3;31,2;23,7;-0,1;-6999;0,0;-6999;
2005;3;12;07;15;-0,3;4,0;73,3;35,3;24,6;-0,2;-6999;0,0;-6999;
2005;3;12;07;30;-0,4;4,2;72,2;65,4;23,1;-0,1;-6999;0,0;-6999;
2005;3;12;07;45;-0,5;4,3;70,9;88,0;24,1;-0,1;-6999;0,0;-6999;
2005;3;12;08;00;-0,6;4,5;69,6;133,5;27,4;-0,2;-6999;0,0;-6999;
2005;3;12;08;15;-0,6;4,5;69,6;109,2;25,2;-0,1;-6999;0,0;-6999;
2005;3;12;08;30;-0,6;4,7;68,7;191,7;23,0;-0,2;-6999;0,0;-6999;
2005;3;12;08;45;-0,5;4,7;69,0;198,6;23,6;-0,2;-6999;0,0;-6999;
2005;3;12;09;00;-0,4;4,3;71,7;82,0;21,2;-0,1;-6999;0,0;-6999;
2005;3;12;09;15;-0,1;4,1;74,0;51,4;21,5;-0,1;-6999;0,0;-6999;
2005;3;12;09;30;-0,3;1,1;90,4;55,3;18,1;-0,1;-6999;0,0;-6999;
2005;3;12;09;45;0,1;0,3;98,3;75,4;16,6;-0,1;-6999;0,0;-6999;
2005;3;12;10;00;0,5;0,5;100,0;77,2;14,1;-0,1;-6999;0,0;-6999;
2005;3;12;10;15;1,0;0,8;101,8;111,6;13,0;-0,1;-6999;0,0;-6999;
2005;3;12;10;30;1,4;1,0;102,8;106,7;12,8;-0,1;-6999;0,0;-6999;
2005;3;12;10;45;1,4;1,0;103,0;88,1;9,0;-0,1;-6999;0,0;-6999;
2005;3;12;11;00;1,4;1,0;102,9;76,1;8,5;-0,1;-6999;0,0;-6999;
2005;3;12;11;15;1,5;1,1;102,8;72,0;6,9;-0,1;-6999;0,0;-6999;
2005;3;12;11;30;1,5;1,1;102,6;73,2;8,0;-0,1;-6999;0,0;-6999;
2005;3;12;11;45;1,2;0,8;103,0;55,3;7,2;-0,1;-6999;0,0;-6999;
2005;3;12;12;00;0,9;0,4;103,8;52,8;7,8;-0,1;-6999;0,0;-6999;
2005;3;12;12;15;1,0;0,4;104,4;47,2;4,2;-0,1;-6999;0,0;-6999;
2005;3;12;12;30;1,1;0,4;104,9;56,2;3,1;-0,1;-6999;0,0;-6999;
2005;3;12;12;45;1,1;0,4;105,3;53,5;2,7;-0,1;-6999;0,0;-6999;
2005;3;12;13;00;1,2;0,4;105,8;37,7;2,3;-0,1;-6999;0,0;-6999;
2005;3;12;13;15;1,3;0,5;106,3;59,5;2,3;-0,1;-6999;0,0;-6999;
2005;3;12;13;30;1,8;0,9;106,9;126,2;1,2;-0,1;-6999;0,0;-6999;
2005;3;12;13;45;2,8;1,8;107,1;448,7;2,7;-0,1;-6999;0,0;-6999;
2005;3;12;14;00;3,4;2,7;105,1;480,1;5,4;-0,1;-6999;0,0;-6999;
2005;3;12;14;15;3,7;3,5;101,6;411,0;5,8;-0,1;-6999;0,0;-6999;
2005;3;12;14;30;3,7;4,3;96,2;349,9;7,8;-0,1;-6999;0,0;-6999;
2005;3;12;14;45;2,4;4,4;86,8;210,9;15,2;-0,1;-6999;0,0;-6999;
2005;3;12;15;00;1,3;4,4;80,5;293,4;17,5;-0,1;-6999;0,0;-6999;
2005;3;12;15;15;1,0;4,2;79,6;211,9;21,2;-0,1;-6999;0,0;-6999;
